index,timestamp,temperature_c,humidity_percent,status,note
1,2026-09-25 21:14:20.447,24.2,58.0,ok,
2,2026-09-25 21:14:23.447,24.2,58.0,ok,
3,2026-09-25 21:14:26.447,24.2,58.0,ok,
4,2026-09-25 21:14:29.447,24.2,58.0,ok,
5,2026-09-25 21:14:32.447,24.2,57.0,ok,
6,2026-09-25 21:14:35.447,24.2,57.0,ok,
7,2026-09-25 21:14:38.447,24.2,57.0,ok,
8,2026-09-25 21:14:41.447,24.2,57.0,ok,
9,2026-09-25 21:14:44.447,24.2,57.0,ok,
10,2026-09-25 21:14:47.447,24.2,57.0,ok,
11,2026-09-25 21:14:50.447,24.2,57.0,ok,
12,2026-09-25 21:14:53.448,24.2,57.0,ok,
13,2026-09-25 21:14:56.448,24.2,57.0,ok,
14,2026-09-25 21:14:59.448,24.2,57.0,ok,
15,2026-09-25 21:15:02.448,24.2,57.0,ok,
16,2026-09-25 21:15:05.448,24.2,57.0,ok,
17,2026-09-25 21:15:08.448,24.2,57.0,ok,
18,2026-09-25 21:15:11.448,24.2,57.0,ok,
19,2026-09-25 21:15:14.448,24.2,57.0,ok,
20,2026-09-25 21:15:17.448,24.2,57.0,ok,
21,2026-09-25 21:15:20.448,24.2,57.0,ok,
22,2026-09-25 21:15:23.448,24.2,57.0,ok,
23,2026-09-25 21:15:26.448,24.2,58.0,ok,
24,2026-09-25 21:15:29.448,24.2,58.0,ok,
25,2026-09-25 21:15:32.449,24.2,58.0,ok,
26,2026-09-25 21:15:35.449,24.2,58.0,ok,
27,2026-09-25 21:15:38.449,24.2,57.0,ok,
28,2026-09-25 21:15:41.449,24.2,57.0,ok,
29,2026-09-25 21:15:44.449,24.2,57.0,ok,
30,2026-09-25 21:15:47.449,24.2,57.0,ok,
31,2026-09-25 21:15:50.449,24.2,57.0,ok,
32,2026-09-25 21:15:53.449,24.2,57.0,ok,
33,2026-09-25 21:15:56.449,24.2,57.0,ok,
34,2026-09-25 21:15:59.449,24.2,57.0,ok,
35,2026-09-25 21:16:02.449,24.2,57.0,ok,
36,2026-09-25 21:16:05.449,24.2,57.0,ok,
37,2026-09-25 21:16:08.449,24.2,57.0,ok,
38,2026-09-25 21:16:11.450,24.1,57.0,ok,
39,2026-09-25 21:16:14.450,24.2,57.0,ok,
40,2026-09-25 21:16:17.450,24.1,57.0,ok,
41,2026-09-25 21:16:20.450,24.1,57.0,ok,
42,2026-09-25 21:16:23.450,24.1,57.0,ok,
43,2026-09-25 21:16:26.450,24.1,57.0,ok,
44,2026-09-25 21:16:29.450,24.1,57.0,ok,
45,2026-09-25 21:16:32.450,24.1,57.0,ok,
46,2026-09-25 21:16:35.450,24.1,57.0,ok,
47,2026-09-25 21:16:38.450,24.1,57.0,ok,
48,2026-09-25 21:16:41.450,24.1,57.0,ok,
49,2026-09-25 21:16:44.450,24.1,57.0,ok,
50,2026-09-25 21:16:47.450,24.1,57.0,ok,
51,2026-09-25 21:16:50.450,24.1,57.0,ok,
52,2026-09-25 21:16:53.451,24.1,57.0,ok,
53,2026-09-25 21:16:56.451,24.1,57.0,ok,
54,2026-09-25 21:16:59.451,24.1,57.0,ok,
55,2026-09-25 21:17:02.451,24.1,57.0,ok,
56,2026-09-25 21:17:05.451,24.1,57.0,ok,
57,2026-09-25 21:17:08.451,24.1,57.0,ok,
58,2026-09-25 21:17:11.451,24.1,57.0,ok,
59,2026-09-25 21:17:14.451,24.1,57.0,ok,
60,2026-09-25 21:17:17.451,24.1,57.0,ok,
61,2026-09-25 21:17:20.451,24.1,57.0,ok,
62,2026-09-25 21:17:23.451,24.1,57.0,ok,
63,2026-09-25 21:17:26.451,24.1,57.0,ok,
64,2026-09-25 21:17:29.451,24.1,57.0,ok,
65,2026-09-25 21:17:32.452,24.1,57.0,ok,
66,2026-09-25 21:17:35.452,24.1,57.0,ok,
67,2026-09-25 21:17:38.452,24.1,57.0,ok,
68,2026-09-25 21:17:41.452,24.1,57.0,ok,
69,2026-09-25 21:17:44.452,24.1,57.0,ok,
70,2026-09-25 21:17:47.452,24.1,57.0,ok,
71,2026-09-25 21:17:50.452,24.1,57.0,ok,
72,2026-09-25 21:17:53.452,24.1,57.0,ok,
73,2026-09-25 21:17:56.452,24.1,57.0,ok,
74,2026-09-25 21:17:59.452,24.1,57.0,ok,
75,2026-09-25 21:18:02.452,24.1,57.0,ok,
76,2026-09-25 21:18:05.452,24.1,57.0,ok,
77,2026-09-25 21:18:08.452,24.1,57.0,ok,
